     Time |  Peak Mem | File Name                                     
----------------------------------------------------------------------
44m13.32s | 951936 ko | Total Time / Peak Mem                         
----------------------------------------------------------------------
 6m01.31s | 810384 ko | Functor/Construction/Product/Monoidal.vo      
 3m36.31s | 951936 ko | Functor/Strong/Product.vo                     
 2m28.19s | 768200 ko | Theory/Metacategory/ArrowsOnly.vo             
 2m24.78s | 581700 ko | Construction/Comma/Natural/Transformation.vo  
 2m11.07s | 887224 ko | Instance/Coq/Par.vo                           
 2m07.69s | 534876 ko | Construction/Slice.vo                         
 1m46.32s | 759572 ko | Structure/Monoid.vo                           
 1m44.25s | 496972 ko | Structure/Monoidal/Cartesian/Proofs.vo        
 1m31.29s | 508004 ko | Functor/Structure/Monoidal/Compose.vo         
 1m07.19s | 474528 ko | Structure/Monoidal/Proofs.vo                  
 1m06.99s | 481852 ko | Instance/Adjoints.vo                          
 1m05.54s | 437852 ko | Structure/Monoidal/Relevance.vo               
 0m58.36s | 492176 ko | Structure/Monoidal/Compose.vo                 
 0m50.21s | 659660 ko | Instance/Cones/Comma.vo                       
 0m45.69s | 436052 ko | Instance/Cat/Cartesian/Closed.vo              
 0m45.26s | 419164 ko | Functor/Traversable.vo                        
 0m41.79s | 446188 ko | Structure/Group/Proofs.vo                     
 0m41.28s | 449684 ko | Structure/BiCCC.vo                            
 0m32.99s | 453716 ko | Functor/Construction/Product/Strong.vo        
 0m31.52s | 449500 ko | Structure/Monoidal/Internal/Product.vo        
 0m31.44s | 461708 ko | Construction/Comma.vo                         
 0m26.50s | 452664 ko | Structure/Cartesian/Closed.vo                 
 0m25.06s | 575220 ko | Theory/Metacategory.vo                        
 0m19.66s | 453384 ko | Instance/Adj.vo                               
 0m19.63s | 653508 ko | Instance/Lambda/Eval.vo                       
 0m19.13s | 427676 ko | Adjunction/Hom.vo                             
 0m17.50s | 374160 ko | Structure/Monoidal/Semicartesian/Proofs.vo    
 0m16.89s | 659732 ko | Structure/Monoidal/Product.vo                 
 0m16.77s | 378236 ko | Functor/Strong.vo                             
 0m16.61s | 374536 ko | Structure/Monoidal/Braided.vo                 
 0m16.35s | 379344 ko | Instance/AST.vo                               
 0m14.51s | 385160 ko | Structure/Monoidal/Naturality.vo              
 0m12.90s | 447656 ko | Instance/Lambda.vo                            
 0m12.07s | 403008 ko | Construction/Cayley.vo                        
 0m11.86s | 733052 ko | Theory/Metacategory/DecideExample.vo          
 0m11.24s | 429580 ko | Instance/Parallel.vo                          
 0m11.15s | 370788 ko | Structure/Monoidal/Symmetric.vo               
 0m10.82s | 380388 ko | Instance/Shapes.vo                            
 0m09.55s | 423504 ko | Construction/Product/Comma.vo                 
 0m09.36s | 397384 ko | Structure/Cartesian.vo                        
 0m08.89s | 384080 ko | Theory/Functor.vo                             
 0m08.42s | 376964 ko | Instance/Coq/ParE.vo                          
 0m08.19s | 372640 ko | Functor/Construction/Product.vo               
 0m08.13s | 392912 ko | Instance/Sets.vo                              
 0m08.11s | 373756 ko | Theory/Universal/Arrow.vo                     
 0m08.05s | 371376 ko | Functor/Structure/Monoidal/Pure.vo            
 0m07.74s | 394076 ko | Solver/Normal.vo                              
 0m07.54s | 477512 ko | Instance/Simplex/MonoidalStructure.vo         
 0m07.54s | 377856 ko | Structure/Pullback/Limit.vo                   
 0m07.16s | 379872 ko | Structure/Cartesian/Closed/Product.vo         
